GEOID;PMID/DOI;Organism;Strain;Tissues;Ages;Sex;N samples;Method;Platform;Status
GSE53960;24510058;rattus norvegicus;Fischer 344;heart;2 6 21 104 w;female;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;kidney;2 6 21 104 w;male;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;kidney;2 6 21 104 w;female;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;liver;2 6 21 104 w;male;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;liver;2 6 21 104 w;female;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;lung;2 6 21 104 w;male;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;lung;2 6 21 104 w;female;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;muscle;2 6 21 104 w;male;16;rnaseq;Illumina HiSeq 2000;
GSE53960;24510058;rattus norvegicus;Fischer 344;muscle;2 6 21 104 w;female;16;rnaseq;Illumina HiSeq 2000;
PRJNA516151;31533046;rattus norvegicus;SD;gastrocnemius;6 9 12 18 21 24 27 m;male;;rnaseq;Illumina HiSeq4000;
PRJNA516151;31533046;rattus norvegicus;SD;hippocampus;6 9 12 18 21 24 27 m;male;;rnaseq;Illumina HiSeq4000;
PRJNA516151;31533046;rattus norvegicus;SD;kidney;6 9 12 18 21 24 27 m;male;;rnaseq;Illumina HiSeq4000;
PRJNA516151;31533046;rattus norvegicus;SD;liver;6 9 12 18 21 24 27 m;male;;rnaseq;Illumina HiSeq4000;
GSE66715;27135913;rattus norvegicus;Fischer 344;liver;6 24 m;N/A;6;rnaseq;Illumina HiSeq 2000;
GSE66715;27135913;rattus norvegicus;Fischer 344;brain;6 24 m;N/A;6;rnaseq;Illumina HiSeq 2000;
GSE11291;18523577;mus musculus;B6C3F1;heart;5 30 m;male;10;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE11291;18523577;mus musculus;B6C3F1;muscle;5 30 m;male;10;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE11291;18523577;mus musculus;B6C3F1;brain;5 30 m;male;10;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE34378;23795901;mus musculus;C57Bl/6;liver;13 26 52 78 104 130 w;female;18;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE34378;23795901;mus musculus;C57Bl/6;kidney;13 26 52 78 104 130 w;female;18;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE34378;23795901;mus musculus;C57Bl/6;lung;13 26 52 78 104 130 w;female;18;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE34378;23795901;mus musculus;C57Bl/6;brain;13 26 52 78 104 130 w;female;18;microarray;Affymetrix Mouse Genome 430 2.0 Array;
GSE27625;22049228;rattus norvegicus;Fischer 344;liver;3 24 m;male;16;microarray;Affymetrix Rat Genome 230 2.0 Array;
GSE40645;24524210;homo sapiens;;muscle;many;male;15;microarray;Illumina HumanHT-12 V3.0 expression beadchip;
GSE40645;24524210;homo sapiens;;muscle;many;female;13;microarray;Illumina HumanHT-12 V3.0 expression beadchip;
GSE12480;https://doi.org/10.1021/tx400078b;mus musculus;C57BL/6J;heart;4-6 25-28 m;male;20;microarray;Affymetrix Mouse Genome 430 2.0 Array;
