Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8705742,2019-07-23 10:26:23,2019-03-10 08:46:16,50632650,7696162800,50632650,152,2729,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705742,SRX5501205,LIB11094441.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470276,SAMN11094441,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_228_2C4-1,,,,228,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,0F5357D230FA1592F0E0BA0B98306230,A01EDAEA9EB2BBC049B6B14556FE05ED
SRR8705739,2019-07-23 10:26:23,2019-03-10 08:46:06,47440929,7211021208,47440929,152,2553,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705739,SRX5501208,LIB11094442.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470278,SAMN11094442,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_229_2D4-1,,,,229,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,8FB6DD0C084CAA08998B610B69AF2E3E,C2DBC882C61FC890163A6EF393B875D1
SRR8705740,2019-07-23 10:26:23,2019-03-10 08:41:35,42263019,6423978888,42263019,152,2269,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705740,SRX5501207,LIB11094443.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470275,SAMN11094443,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_230_2E4-1,,,,230,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,1E89F66406287CAE9FE294DFD56568BE,51930214BCA20C1794BBD30EFE5BE145
SRR8705707,2019-07-23 10:26:24,2019-03-10 08:41:20,30112381,4577081912,30112381,152,1633,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705707,SRX5501240,LIB11094446.2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470270,SAMN11094446,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_233_2H4-1,,,,233,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,947DD33BBCEE7560CE907B2DCD65C78F,B5B9C2A17590BB56DB2AF239E214A912
SRR8705706,2019-07-23 10:26:24,2019-03-10 08:36:49,19261269,2927712888,19261269,152,1044,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705706,SRX5501241,LIB11094447.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470304,SAMN11094447,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_234_2A5-1,,,,234,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,3AC9A121823B653781E2AF8A455EB5DE,A8961D729B248466A307CE4C681ECA2A
SRR8705705,2019-07-23 10:26:24,2019-03-10 08:39:57,31462302,4782269904,31462302,152,1690,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705705,SRX5501242,LIB11094448.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470305,SAMN11094448,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_120_2B5-1,,,,120,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,CD545A7A17B752C2FC0E2B3A4A27C21F,D134FE3DCEAF69DB66D66E73EAD8B6D1
SRR8705704,2019-07-23 10:26:24,2019-03-10 08:51:03,64516003,9806432456,64516003,152,3518,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705704,SRX5501243,LIB11094449.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470306,SAMN11094449,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_122_2C5-1,,,,122,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,B516822B65CD70423D86BF1C9437C390,D1EA5A7F5692AC7DC8C400EC01849A61
SRR8705711,2019-07-23 10:26:24,2019-03-10 08:38:07,25584500,3888844000,25584500,152,1375,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705711,SRX5501236,LIB11094450.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470300,SAMN11094450,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_140_2D5-1,,,,140,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,3A1B623D97A1FB688FDC8D851CFD0BFA,EC8821F5A8D63F3D1CEB5DAEE7D061C7
SRR8705710,2019-07-23 10:26:24,2019-03-10 08:52:54,52895901,8040176952,52895901,152,2862,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705710,SRX5501237,LIB11094451.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470301,SAMN11094451,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_141_2E5-1,,,,141,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,8E1B0354525ABAB68470819715C7530D,5092027D235D2277D95235C1EECF3688
SRR8705709,2019-07-23 10:26:24,2019-03-10 08:31:25,4866571,739718792,4866571,152,259,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008501/SRR8705709,SRX5501238,LIB11094452.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470302,SAMN11094452,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_143_2F5-1,,,,143,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,39AB722C86921AD56CDB8C4DD2DFD015,F379B67A5826FA4B2FBBAC575CCCCD1B
SRR8705708,2019-07-23 10:26:24,2019-03-10 08:48:10,49627516,7543382432,49627516,152,2694,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705708,SRX5501239,LIB11094453.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470303,SAMN11094453,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_148_2G5-1,,,,148,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,B5874B2124F583AAAACC221028FE96D4,D8E6383ECA2B06FC8C454E04E48A9F49
SRR8705700,2019-07-23 10:26:24,2019-03-10 08:46:31,44774048,6805655296,44774048,152,2468,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705700,SRX5501247,LIB11094454.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470309,SAMN11094454,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_157_2B6-1,,,,157,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,FDDD2C3F1D0BA016EC84CF3A24208DA9,C169FD9D3A28F463A645EDA2AA962350
SRR8705699,2019-07-23 10:26:24,2019-03-10 08:40:40,33808280,5138858560,33808280,152,1858,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705699,SRX5501248,LIB11094455.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470310,SAMN11094455,simple,10116,Rattus norvegicus,Kidney_21Mo_fasted_160_2C6-1,,,,160,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,42F3408E8B34DBDDEDC10050DD25E035,D592CEDAF1DFC146A8B72BB52619DF80
SRR8705689,2019-07-23 10:26:24,2019-03-13 13:00:42,45032340,6844915680,45032340,152,3232,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/008501/SRR8705689,SRX5501258,LIB11094456.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470316,SAMN11094456,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_119_2D6-1,,,,119,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,4A0FFC8353B6FA6E4746EEA22D72818B,70372DB2DDEB2A8D7E075982BC513EDD
SRR8705714,2019-07-23 10:26:23,2019-03-10 08:48:13,48346156,7348615712,48346156,152,2640,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705714,SRX5501233,LIB11094457.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470297,SAMN11094457,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_130_2E6-1,,,,130,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,97A79493898E149A2F06C5B53BE83EBE,96A60ABA9185D57391CC3793453C7495
SRR8705720,2019-07-23 10:26:23,2019-03-10 08:41:21,35188634,5348672368,35188634,152,1930,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705720,SRX5501227,LIB11094458.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470293,SAMN11094458,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_133_2F6-1,,,,133,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,B8EBBE2DDB07AA65DF131D7B4E331E78,371DE158D419BC8F24FC029C263CAB00
SRR8705722,2019-07-23 10:26:23,2019-03-10 08:42:17,36625194,5567029488,36625194,152,1989,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705722,SRX5501225,LIB11094459.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470291,SAMN11094459,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_136_2G6-1,,,,136,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,43F3B045EB8A67959D60F1152EF3B67D,0F21311846E6320DACF8E5A414679BDD
SRR8705693,2019-07-23 10:26:24,2019-03-10 08:41:46,40748615,6193789480,40748615,152,2223,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705693,SRX5501254,LIB11094460.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470313,SAMN11094460,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_137_2H6-1,,,,137,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,A1116BA55B52F5076896FAAD21FCF4EB,AC1D325A85C53EBE819C26437F48C65F
SRR8705695,2019-07-23 10:26:24,2019-03-10 08:34:08,13409656,2038267712,13409656,152,723,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705695,SRX5501252,LIB11094460.2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470313,SAMN11094460,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_137_2H6-1,,,,137,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,7E903123BDD9400EEFC9E89E176E29BD,A2E12CDE663D6D4D9800619E4271008F
SRR8705698,2019-07-23 10:26:24,2019-03-10 08:45:05,43591075,6625843400,43591075,152,2342,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705698,SRX5501249,LIB11094461.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470311,SAMN11094461,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_146_2A7-1,,,,146,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,B93E7F14D124A2F8FBC225B4FAFECFBA,2737F1C888E73E363AA130A3965AECE4
SRR8705703,2019-07-23 10:26:24,2019-03-10 08:47:15,46718378,7101193456,46718378,152,2554,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705703,SRX5501244,LIB11094462.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470307,SAMN11094462,simple,10116,Rattus norvegicus,Kidney_24Mo_fasted_147_2B7-1,,,,147,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,FB124712D48ADF166F2EA48249CC8BFB,09F5D0A1889205CFBF26B43B33A8521E
SRR8705737,2019-07-23 10:26:23,2019-03-10 08:46:21,42969357,6531342264,42969357,152,2326,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008501/SRR8705737,SRX5501210,LIB11094465.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470279,SAMN11094465,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_360_2E7-1,,,,360,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,7DFF0D8975A2409EDED5ABFCF06F733E,507CD07714AE9B73DD14B1CECA85D958
SRR8705738,2019-07-23 10:26:23,2019-03-10 08:50:04,54451893,8276687736,54451893,152,2955,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/008501/SRR8705738,SRX5501209,LIB11094466.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470267,SAMN11094466,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_361_2F7-1,,,,361,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,EA62AA7C2FCC1B7F031F839898C179FB,7BAB157481ED3444E0E9A1DFD62D0987
SRR8705726,2019-07-23 10:26:23,2019-03-10 08:44:50,43955670,6681261840,43955670,152,2433,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705726,SRX5501221,LIB11094468.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470288,SAMN11094468,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_364_2A8-1,,,,364,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,B18C69DAAFE8004671AFDD21A2AF9478,70F724741C8409A95E50007C3C5D5D4D
SRR8705724,2019-07-23 10:26:23,2019-03-10 08:44:09,41989288,6382371776,41989288,152,2270,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705724,SRX5501223,LIB11094469.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470290,SAMN11094469,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_365_2B8-1,,,,365,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,21C9EBDE4BB156EB2F8573095A00075B,2FEFA50A60AAC0336C557A4FBF594E4F
SRR8705697,2019-07-23 10:26:24,2019-03-10 08:45:07,37531110,5704728720,37531110,152,2034,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/008501/SRR8705697,SRX5501250,LIB11094470.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470312,SAMN11094470,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_366_2C8-1,,,,366,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,8DB01B717E087E55671E751793C05987,DCC786AFD2405E3024DFC6A550ACBA93
SRR8705688,2019-07-23 10:26:24,2019-03-10 08:44:57,41176121,6258770392,41176121,152,2236,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705688,SRX5501259,LIB11094471.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470317,SAMN11094471,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_367_2D8-1,,,,367,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,2A038935846BC7054D74B680BF41FD51,70556D3A906A8FFFD4B46F0A348C66EC
SRR8705701,2019-07-23 10:26:24,2019-03-10 08:48:09,43258915,6575355080,43258915,152,2331,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705701,SRX5501246,LIB11094472.2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470308,SAMN11094472,simple,10116,Rattus norvegicus,Kidney_27Mo_fasted_368_2E8-1,,,,368,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,AF681EE3E00D943DCD347DF000559F2F,B38D68B8061C0FCFDD1795CBA86BCE0A
